filename,unet_dice,unet_iou,attention_unet_dice,attention_unet_iou,resnet_unet_dice,resnet_unet_iou
cju0s690hkp960855tjuaqvv0.jpg,0.11517509818077087,0.06110652536153793,0.6263630390167236,0.4559887945652008,0.952540934085846,0.9093825221061707
cju15ptjtppz40988odsm9azx.jpg,0.2324538379907608,0.13151216506958008,0.7839512228965759,0.6446709036827087,0.5273515582084656,0.3580973744392395
cju160wshltz10993i1gmqxbe.jpg,0.13442812860012054,0.0720573365688324,0.34137779474258423,0.20582009851932526,0.9294338822364807,0.868170440196991
cju16d65tzw9d0799ouslsw25.jpg,0.48205888271331787,0.3175741732120514,0.8928257822990417,0.8064004182815552,0.9452565908432007,0.8961958289146423
cju16jgnyzp970878melv7r25.jpg,0.5132563710212708,0.3452218472957611,0.8894374966621399,0.8008891940116882,0.9652618169784546,0.9328560829162598
cju1egh885m1l0855ci1lt37c.jpg,2.3612750643664526e-10,2.3612750643664526e-10,6.161429699780285e-10,6.161429699780285e-10,0.9293924570083618,0.8680981397628784
cju1euuc65wm00799m4sjdnnn.jpg,0.7695605754852295,0.6254355311393738,0.9225366115570068,0.8562115430831909,0.9625101685523987,0.9277297854423523
cju1ewnoh5z030855vpex9uzt.jpg,0.5157215595245361,0.34745609760284424,0.5274654626846313,0.35820242762565613,0.5987433791160583,0.42729032039642334
cju1fj6axwfp30835ukhuzhw9.jpg,0.664072573184967,0.4970872700214386,0.7000541687011719,0.5385256409645081,0.7857991456985474,0.6471739411354065
cju1gghyjwxt80835vx0wgxw0.jpg,0.03628871589899063,0.018479658290743828,0.8837619423866272,0.7917325496673584,0.9556702971458435,0.9151039719581604
cju2i8br1vqtd08784u6vmcjk.jpg,0.3898178040981293,0.2420954704284668,0.7810271978378296,0.6407256722450256,0.980342447757721,0.9614428877830505
cju2nguelpmlj0835rojdn097.jpg,0.37699204683303833,0.23227986693382263,0.8313090205192566,0.7113164067268372,0.9685301780700684,0.9389806985855103
cju2nsmwjlzyl0993jl80chvz.jpg,0.4004780352115631,0.25037357211112976,0.0004807115765288472,0.00024041363212745637,0.9288455843925476,0.8671444058418274
cju2rlqdnoz9k0993cpjae3x0.jpg,0.8772397637367249,0.7813242673873901,0.9336538314819336,0.8755635619163513,0.9647687077522278,0.9319354295730591
cju2srvy5440s0801y1ba9akr.jpg,0.8799694180488586,0.7856655120849609,0.83940589427948,0.7232553958892822,0.8669108748435974,0.7650862336158752
cju2sxf3iqbpv09937iksn8ep.jpg,0.39950963854789734,0.24961702525615692,0.9404467344284058,0.8875880241394043,0.9513370394706726,0.9071904420852661
cju2t16vuucaq0835xcpsivn2.jpg,2.242655366968549e-10,2.242655366968549e-10,0.9054532051086426,0.8272402882575989,0.9689849615097046,0.9398359060287476
cju2t62nq45jl0799odpufwx6.jpg,0.7391765117645264,0.5862648487091064,0.8925926089286804,0.8060200810432434,0.9015436768531799,0.8207369446754456
cju2txjfzv60w098839dcimys.jpg,0.56118243932724,0.39003026485443115,0.6895318031311035,0.5261721014976501,0.9564922451972961,0.9166125059127808
cju2uzabhs6er0993x3aaf87p.jpg,0.3245573043823242,0.19371436536312103,0.5141560435295105,0.3460363745689392,0.486838161945343,0.321735680103302
cju2z1nxlzaj40835wj81s1iy.jpg,0.3516349196434021,0.2133234590291977,0.8260678052902222,0.7036759257316589,0.957719087600708,0.9188685417175293
cju2z6ez69g4u0801qwt088lw.jpg,0.5771731734275818,0.40565240383148193,0.49533945322036743,0.32920345664024353,0.8365568518638611,0.7190354466438293
cju32srle1xfq083575i3fl75.jpg,0.5798191428184509,0.40827134251594543,0.7649568319320679,0.6193765997886658,0.9076093435287476,0.8308468461036682
cju33231uy4gi0993qc7b1jch.jpg,0.07177814096212387,0.037225041538476944,0.7699841260910034,0.6259952783584595,0.4831373691558838,0.3185109496116638
cju35k2fr3vc50988c85qkrwg.jpg,0.06149215251207352,0.03172138333320618,0.8698909878730774,0.7697408199310303,0.887246310710907,0.7973429560661316
cju3xwpgviwlx0871rwm15q7v.jpg,0.4141734838485718,0.26117199659347534,0.5100045204162598,0.3422859311103821,0.9024961590766907,0.8223171234130859
cju3y21quj0ir0818kgjagr15.jpg,0.5123727321624756,0.3444228172302246,0.8486140966415405,0.7370370626449585,0.9756327271461487,0.9524247050285339
cju41z76wlgbz0801qdetlvby.jpg,0.6728165745735168,0.5069506764411926,0.8645533323287964,0.7614213228225708,0.94327712059021,0.8926438689231873
cju5clr68b48r0755cmuvponm.jpg,0.5725500583648682,0.40109992027282715,0.4496338367462158,0.2900178134441376,0.9705648422241211,0.942812979221344
cju5ktjwofed70817eg58ef7u.jpg,0.525831401348114,0.3566969335079193,0.5781931281089783,0.4066608250141144,0.9640267491340637,0.9305517673492432
cju5uxjnol2r509871qv2yeia.jpg,0.13970769941806793,0.0750998705625534,0.7772307395935059,0.6356316208839417,0.967758059501648,0.9375302791595459
cju5x7iskmad90818frchyfwd.jpg,0.2540179193019867,0.14548712968826294,0.4201933443546295,0.2659777104854584,0.5635710954666138,0.39234182238578796
cju5xjn5mm78b09871spyqhhr.jpg,0.4689699113368988,0.3063100576400757,0.743144690990448,0.5912730693817139,0.7063743472099304,0.5460423231124878
cju5yimthmlv80850zhoc90c2.jpg,2.8011204467048856e-10,2.8011204467048856e-10,0.44529417157173157,0.2864169776439667,0.9634402394294739,0.9294593930244446
cju6yywx1whbb0871ksgfgf9f.jpg,0.5500180721282959,0.37932753562927246,0.8372388482093811,0.7200437188148499,0.9060896635055542,0.828303337097168
cju772304yw5t0818vbw8kkjf.jpg,0.48775434494018555,0.322536438703537,0.8014936447143555,0.6687437295913696,0.9490479826927185,0.9030364751815796
cju7ajnbo1gvm098749rdouk0.jpg,0.29378077387809753,0.17218232154846191,0.7548360824584961,0.6062142252922058,0.9591531157493591,0.9215121865272522
cju7bduyq1rjf08719giru9ho.jpg,0.4782060980796814,0.31423842906951904,0.7299973964691162,0.5747999548912048,0.9733904600143433,0.9481603503227234
cju7bmi1v1pnj0987pa52jjok.jpg,0.7653676867485046,0.6199154257774353,0.9347156882286072,0.8774330615997314,0.921468198299408,0.8543727993965149
cju7d7aut2a2p0818z4uxc6cd.jpg,0.06492902338504791,0.033553820103406906,0.6545340418815613,0.4864738881587982,0.9578256607055664,0.9190647602081299
cju7dsrtb2f8i085064kwugfk.jpg,0.5320830345153809,0.3624749183654785,0.7609745860099792,0.6141718626022339,0.9739564061164856,0.9492349028587341
cju7dwe282dc309876rco45ts.jpg,0.17584934830665588,0.0964006707072258,0.5109207630157471,0.34311187267303467,0.9464809894561768,0.8983995318412781
cju7dxffn2eam0817qxosfwch.jpg,0.6267732381820679,0.45642369985580444,0.6062389016151428,0.43496614694595337,0.6167411208152771,0.44586098194122314
cju7etr3y2p4t0801cdzjj8ab.jpg,0.5813456177711487,0.4097866117954254,0.18589743971824646,0.10247349739074707,0.7776510715484619,0.6361940503120422
cju7ey10f2rvf0871bwbi9x82.jpg,0.043333813548088074,0.022146759554743767,0.689689576625824,0.5263558626174927,0.6614556312561035,0.49416038393974304
cju84dsvaklpx098750hp83x4.jpg,0.008878319524228573,0.0044589536264538765,0.12506088614463806,0.06670130044221878,0.4653374254703522,0.3032180666923523
cju84hibuktj80871u519o71q.jpg,0.2491149753332138,0.1422794610261917,0.8956360816955566,0.8109972476959229,0.9870003461837769,0.9743343591690063
cju892fesoq2g0801n0e0jyia.jpg,0.48300832509994507,0.31839877367019653,0.9021279811859131,0.8217059969902039,0.9341854453086853,0.8764989972114563
cju8axq24r4an0755yhv9d4ly.jpg,0.39117562770843506,0.24314376711845398,0.9305271506309509,0.8700802326202393,0.9839200377464294,0.968349039554596
cjyzkpsbjdsjq07211dfi4sru.jpg,5.931198310271668e-10,5.931198310271668e-10,0.5315673351287842,0.3619963824748993,0.9529485702514648,0.9101258516311646
AVERAGE,0.38691788629502,0.2703599283552164,0.6822077608255032,0.561071665712324,0.8704523307085037,0.7976470923423767
